date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2014-11-01,2015,0,,WAS,MIL,1540.9893,1324.2878,0.8609353380857142,0.1390646619142858,1543.4327,1321.8444,,,,,,,,,,,108,97
2014-11-01,2015,0,,ORL,TOR,1347.2158,1554.9813,0.34970228915895313,0.6502977108410468,1339.3263,1562.8708,,,,,,,,,,,95,108
2014-11-01,2015,0,,CHO,MEM,1512.225,1592.4651,0.5284061610449838,0.47159383895501616,1507.0366,1597.6534,,,,,,,,,,,69,71
2014-11-01,2015,0,,PHI,MIA,1306.175,1585.8995,0.26219764521646866,0.7378023547835313,1299.1923,1592.8823,,,,,,,,,,,96,114
2014-11-02,2015,0,,MIA,TOR,1592.8823,1562.8708,0.6788313526984635,0.3211686473015365,1596.9768,1558.7764,,,,,,,,,,,107,102
2014-11-02,2015,0,,NYK,CHO,1517.9955,1507.0366,0.6544664937112833,0.3455335062887167,1521.5439,1503.4882,,,,,,,,,,,96,93
2014-11-02,2015,0,,POR,GSW,1567.9905,1607.2056,0.5865947867769826,0.4134052132230174,1559.3123,1615.8838,,,,,,,,,,,90,95
2014-11-02,2015,0,,LAC,SAC,1638.92,1431.0991,0.8547011896583003,0.14529881034169967,1621.3831,1448.6361,,,,,,,,,,,92,98
2014-11-03,2015,0,,PHI,HOU,1299.1923,1616.8905,0.22215160685210572,0.7778483931478943,1295.0255,1621.0573,,,,,,,,,,,93,104
2014-11-03,2015,0,,DAL,BOS,1599.9275,1391.9072,0.8548436783464379,0.14515632165356207,1601.5667,1390.2681,,,,,,,,,,,118,113
2014-11-03,2015,0,,BRK,OKC,1512.8772,1608.2346,0.5066808408409206,0.4933191591590794,1534.8898,1586.222,,,,,,,,,,,116,85
2014-11-03,2015,0,,DEN,SAC,1473.733,1448.6361,0.6726324818922796,0.32736751810772036,1463.2131,1459.156,,,,,,,,,,,105,110
2014-11-03,2015,0,,LAC,UTA,1621.3831,1392.7725,0.8689418025349305,0.13105819746506953,1622.988,1391.1675,,,,,,,,,,,107,101
2014-11-03,2015,0,,MEM,NOP,1597.6534,1457.0809,0.7997682625270008,0.20023173747299916,1601.5613,1453.1731,,,,,,,,,,,93,81
2014-11-04,2015,0,,POR,CLE,1559.3123,1469.7677,0.7485900115827524,0.2514099884172476,1566.2142,1462.8657,,,,,,,,,,,101,82
2014-11-04,2015,0,,IND,MIL,1516.1642,1321.8444,0.8447810735486175,0.15521892645138247,1499.0757,1338.9329,,,,,,,,,,,81,87
2014-11-04,2015,0,,CHI,ORL,1562.5167,1339.3263,0.8653474671962608,0.13465253280373923,1564.4595,1337.3835,,,,,,,,,,,98,90
2014-11-04,2015,0,,MIA,HOU,1596.9768,1621.0573,0.6075505809745366,0.3924494190254634,1578.0277,1640.0063,,,,,,,,,,,91,108
2014-11-04,2015,0,,TOR,OKC,1558.7764,1586.222,0.6029223829295554,0.39707761707044464,1567.5104,1577.488,,,,,,,,,,,100,88
2014-11-04,2015,0,,LAL,PHO,1396.1412,1544.37,0.4310355733005089,0.5689644266994911,1389.7228,1550.7885,,,,,,,,,,,106,112
2014-11-04,2015,0,,NOP,CHO,1453.1731,1503.4882,0.5710188579404188,0.42898114205958116,1461.2051,1495.4562,,,,,,,,,,,100,91
2014-11-04,2015,0,,NYK,WAS,1521.5439,1543.4327,0.6105546387852671,0.38944536121473294,1504.0078,1560.9689,,,,,,,,,,,83,98
2014-11-05,2015,0,,DET,NYK,1371.0433,1504.0078,0.4527021129120645,0.5472978870879355,1377.3285,1497.7227,,,,,,,,,,,98,95
2014-11-05,2015,0,,PHO,MEM,1550.7885,1601.5613,0.570373343024995,0.429626656975005,1537.7123,1614.6375,,,,,,,,,,,91,102
2014-11-05,2015,0,,UTA,CLE,1391.1675,1462.8657,0.5406397144909835,0.45936028550901653,1395.5083,1458.5249,,,,,,,,,,,102,100
2014-11-05,2015,0,,GSW,LAC,1615.8838,1622.988,0.6305905730375373,0.3694094269624627,1625.957,1612.9148,,,,,,,,,,,121,104
2014-11-05,2015,0,,MIL,CHI,1338.9329,1564.4595,0.32682307959290674,0.6731769204070932,1333.151,1570.2413,,,,,,,,,,,86,95
2014-11-05,2015,0,,WAS,IND,1560.9689,1499.0757,0.7174671169263979,0.28253288307360214,1563.3861,1496.6584,,,,,,,,,,,96,94
