date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2018-10-16,2019,0,,BOS,PHI,1561.52419307645,1607.05768800629,0.5777477344226492,0.42225226557735085,1573.84937213462,1594.73250894812,1633.0,1617.0,0.6531671187786245,0.34683288122137546,1642.71063862906,1607.28936137094,1633.0,1617.0,0.6531671187786245,0.34683288122137546,105,87
2018-10-16,2019,0,,GSW,OKC,1684.81639332058,1584.31796754194,0.7602702501736928,0.23972974982630724,1688.56782951105,1580.56653135147,1751.0,1625.0,0.7869293451028737,0.2130706548971263,1754.27451042435,1621.72548957565,1751.0,1625.0,0.7869293451028737,0.2130706548971263,108,100
2018-10-17,2019,0,,CHO,MIL,1501.95531264353,1517.81379206874,0.6187763121128051,0.38122368788719485,1496.59222885143,1523.17687586084,1474.0,1555.0,0.5312202621549027,0.4687797378450973,1469.62976480577,1559.37023519423,1474.28452059032,1555.44934296492,0.5309839815032994,0.4690160184967006,112,113
2018-10-17,2019,0,,ORL,MIA,1377.81371406097,1499.31649957452,0.46909445396712995,0.53090554603287,1383.85379601963,1493.27641761586,1422.0,1503.0,0.5193436547773626,0.48065634522263745,1427.31712698742,1497.68287301258,1422.36673370705,1502.70881715826,0.5202889853063202,0.4797110146936798,104,101
2018-10-17,2019,0,,IND,MEM,1554.98701040687,1367.42729249214,0.8396096836150275,0.16039031638497248,1560.4109426039,1362.00336029511,1520.0,1436.0,0.7435393637055759,0.25646063629442406,1529.29315444336,1426.70684555664,1519.56522015057,1435.78867965027,0.7432939972356816,0.25670600276431843,111,83
2018-10-17,2019,0,,DET,BRK,1492.02538132293,1432.381865571,0.714834625369504,0.28516537463049596,1494.85278122794,1429.55446566599,1489.0,1455.0,0.688708854992464,0.31129114500753596,1492.13468174496,1451.86531825504,1488.71884085254,1454.66068992638,0.6887806158021189,0.3112193841978811,103,100
2018-10-17,2019,0,,TOR,CLE,1576.53442110228,1558.68467060228,0.6633809861562292,0.3366190138437708,1583.69341513354,1551.52567657102,1655.0,1396.0,0.8851164933007444,0.11488350669925562,1657.08265037205,1393.91734962795,1655.44047476684,1396.48645975726,0.8850895733544979,0.1149104266455021,116,104
2018-10-17,2019,0,,NYK,ATL,1409.59080533561,1388.02304712837,0.6681434878780063,0.33185651212199374,1419.15283236063,1378.46102010335,1326.0,1373.0,0.5715881265984171,0.42841187340158293,1339.02283121518,1359.97716878482,1326.24851008372,1373.37270429255,0.5714130516733141,0.42858694832668587,126,107
2018-10-17,2019,0,,HOU,NOP,1654.09590735621,1565.01297220882,0.748089521106428,0.251910478893572,1626.22898380142,1592.87989576361,1662.0,1555.0,0.761363277429137,0.238636722570863,1633.30159765982,1583.69840234018,1662.49500267399,1554.8593443641,0.7620274684465487,0.23797253155345133,112,131
2018-10-17,2019,0,,SAS,MIN,1539.71229759499,1537.05262716848,0.6435845964566372,0.35641540354336276,1543.87835356846,1532.88657119501,1472.0,1559.0,0.5255531638422726,0.4744468361577274,1477.91702902704,1553.08297097296,1472.04246127682,1559.0,0.5256141105487825,0.4743858894512175,112,108
2018-10-17,2019,0,,SAC,UTA,1396.4809760683,1623.3952613334,0.3250680439884296,0.6749319560115704,1391.91703397877,1627.95920342293,1330.0,1636.0,0.22965449603974306,0.7703455039602569,1326.95965965062,1639.04034034938,1329.5410718821,1635.84843851663,0.22934162517529502,0.770658374824705,117,123
2018-10-17,2019,0,,LAC,DEN,1505.83192253259,1566.55265175897,0.5562878064676057,0.44371219353239433,1494.65095710876,1577.7336171828,1434.0,1587.0,0.42352664541963797,0.576473354580362,1426.09369334716,1594.90630665284,1434.01006074344,1587.06364218814,0.4234513411074528,0.5765486588925472,98,107
2018-10-17,2019,0,,PHO,DAL,1334.04489403255,1393.95694266203,0.5574365393640234,0.4425634606359766,1348.57952380519,1379.4223128894,1361.0,1389.0,0.6122861114659549,0.3877138885340451,1373.35693791236,1376.64306208764,1360.50233758638,1388.5098363069,0.6122758641356129,0.38772413586438714,121,100
2018-10-18,2019,0,,PHI,CHI,1594.73250894812,1363.67426617485,0.8705380481532369,0.12946195184676312,1597.96852875872,1360.43824636425,1607.28936137094,1367.0,0.8731096016471498,0.1268903983528502,1610.45310322465,1363.83625814629,1615.49538033065,1367.35970998754,0.8780298630931198,0.12197013690688019,127,108
2018-10-18,2019,0,,WAS,MIA,1500.21341852382,1493.27641761586,0.6492123628011653,0.35078763719883466,1494.4743243283,1499.01551181138,1569.0,1497.68287301258,0.7749101017155466,0.22508989828445336,1561.43626628491,1505.24660672767,1569.21068878644,1503.44697805015,0.7692851404542604,0.23071485954573956,112,113
2018-10-18,2019,0,,POR,LAL,1560.33701710092,1490.9930193546,0.7260796625585452,0.27392033744145483,1565.03336600811,1486.29667044741,1501.0,1582.0,0.5245950276213598,0.4754049723786402,1510.13009167577,1572.86990832423,1500.55765305218,1581.6049203149,0.5245271687013597,0.47547283129864026,128,119
2018-10-19,2019,0,,ORL,CHO,1383.85379601963,1496.59222885143,0.4816761314812743,0.5183238685187257,1361.99758333913,1518.44844153193,1427.31712698742,1469.62976480577,0.5766964152102331,0.42330358478976693,1399.69564928996,1497.25124250323,1423.01116648588,1475.2907297115,0.5626323215011225,0.4373676784988775,88,120
