date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2004-01-06,2004,0,,NJN,LAC,1586.9202,1457.5436,0.7892478907132469,0.21075210928675314,1592.1368,1452.3269,,,,,,,,,,,92,75
2004-01-06,2004,0,,MIN,LAL,1626.3899,1619.8126,0.6487406666451736,0.3512593333548264,1635.4904,1610.7122,,,,,,,,,,,106,90
2004-01-06,2004,0,,IND,ORL,1598.568,1384.7611,0.8589283663365924,0.14107163366340758,1600.4653,1382.8638,,,,,,,,,,,114,107
2004-01-06,2004,0,,CLE,NYK,1364.561,1469.5775,0.49278117781554237,0.5072188221844576,1375.7764,1458.3622,,,,,,,,,,,107,96
2004-01-06,2004,0,,SAS,WAS,1698.833,1371.4215,0.9213170960502619,0.07868290394973809,1700.8864,1369.3682,,,,,,,,,,,94,72
2004-01-06,2004,0,,SAC,ATL,1663.564,1390.6937,0.8953332016521828,0.10466679834781722,1665.8307,1388.427,,,,,,,,,,,105,89
2004-01-07,2004,0,,TOR,CLE,1432.8077,1375.7764,0.7117594905494617,0.28824050945053825,1436.7679,1371.8162,,,,,,,,,,,75,69
2004-01-07,2004,0,,DEN,LAL,1461.6897,1610.7122,0.42991543220942985,0.5700845677905702,1482.4692,1589.9326,,,,,,,,,,,113,91
2004-01-07,2004,0,,DAL,GSW,1589.1882,1443.5323,0.8044132372116415,0.19558676278835851,1591.7163,1441.0043,,,,,,,,,,,105,99
2004-01-07,2004,0,,MIA,CHI,1401.6774,1373.9564,0.6759499765010071,0.3240500234989929,1406.6243,1369.0095,,,,,,,,,,,102,95
2004-01-07,2004,0,,DET,HOU,1574.7498,1570.8223,0.6452569261159428,0.35474307388405724,1585.1044,1560.4677,,,,,,,,,,,85,66
2004-01-07,2004,0,,SEA,SAC,1518.5594,1665.8307,0.43238782246842816,0.5676121775315719,1531.5511,1652.839,,,,,,,,,,,104,93
2004-01-07,2004,0,,PHI,LAC,1478.796,1452.3269,0.6743694524886956,0.3256305475113044,1488.4836,1442.6393,,,,,,,,,,,100,80
2004-01-07,2004,0,,MIL,PHO,1539.0215,1434.3555,0.764615402055789,0.23538459794421096,1542.6943,1430.6826,,,,,,,,,,,95,87
2004-01-07,2004,0,,NOP,WAS,1541.5789,1369.3682,0.827351335830063,0.17264866416993696,1544.5214,1366.4257,,,,,,,,,,,97,87
2004-01-07,2004,0,,BOS,ORL,1470.7069,1382.8638,0.746742149918683,0.25325785008131696,1474.705,1378.8657,,,,,,,,,,,101,93
2004-01-08,2004,0,,NYK,HOU,1458.3622,1560.4677,0.4969699790216121,0.5030300209783879,1435.6205,1583.2094,,,,,,,,,,,79,111
2004-01-08,2004,0,,MIN,POR,1635.4904,1497.0109,0.7978318935694174,0.20216810643058258,1641.245,1491.2562,,,,,,,,,,,96,75
2004-01-09,2004,0,,SEA,MEM,1531.5511,1510.313,0.667722588638991,0.33227741136100897,1536.2356,1505.6285,,,,,,,,,,,122,116
2004-01-09,2004,0,,CHI,POR,1369.0095,1491.2562,0.46802810798641015,0.5319718920135899,1360.0574,1500.2084,,,,,,,,,,,78,87
2004-01-09,2004,0,,TOR,LAC,1436.7679,1442.6393,0.6322421531946065,0.3677578468053935,1422.5771,1456.8301,,,,,,,,,,,68,78
2004-01-09,2004,0,,PHI,NJN,1488.4836,1592.1368,0.4947428163298566,0.5052571836701434,1502.7317,1577.8888,,,,,,,,,,,97,81
2004-01-09,2004,0,,ORL,WAS,1378.8657,1366.4257,0.6563919934402437,0.3436080065597563,1385.8083,1359.483,,,,,,,,,,,103,92
2004-01-09,2004,0,,DAL,IND,1591.7163,1600.4653,0.6283822718044588,0.3716177281955412,1575.9407,1616.241,,,,,,,,,,,80,92
2004-01-09,2004,0,,PHO,SAC,1430.6826,1652.839,0.3311056173351355,0.6688943826648646,1420.8011,1662.7205,,,,,,,,,,,93,113
2004-01-09,2004,0,,NOP,SAS,1544.5214,1700.8864,0.41958846194207317,0.5804115380579269,1536.1885,1709.2192,,,,,,,,,,,84,94
2004-01-09,2004,0,,LAL,ATL,1589.9326,1388.427,0.8501280535276365,0.14987194647236346,1597.177,1381.1826,,,,,,,,,,,113,67
2004-01-09,2004,0,,BOS,CLE,1474.705,1371.8162,0.7627691688051329,0.2372308311948671,1482.531,1363.9901,,,,,,,,,,,107,82
2004-01-09,2004,0,,MIL,MIA,1542.6943,1406.6243,0.795585439962322,0.204414560037678,1546.0416,1403.277,,,,,,,,,,,103,94
2004-01-09,2004,0,,DEN,UTA,1482.4692,1519.4598,0.5896965955439988,0.4103034044560012,1490.5764,1511.3527,,,,,,,,,,,106,96
2004-01-10,2004,0,,GSW,SEA,1441.0043,1536.2356,0.5068622800415894,0.4931377199584106,1446.4972,1530.7427,,,,,,,,,,,113,110
2004-01-10,2004,0,,MIN,MIA,1641.245,1403.277,0.874955154575517,0.12504484542448302,1642.7673,1401.7546,,,,,,,,,,,83,77
2004-01-10,2004,0,,CHI,NOP,1360.0574,1536.1885,0.3921590297671363,0.6078409702328638,1369.1675,1527.0784,,,,,,,,,,,89,84
2004-01-10,2004,0,,WAS,PHI,1359.483,1502.7317,0.4380796108432832,0.5619203891567168,1369.2765,1492.9382,,,,,,,,,,,94,87
2004-01-10,2004,0,,UTA,ATL,1511.3527,1381.1826,0.7900066671179293,0.20999333288207067,1517.3636,1375.1716,,,,,,,,,,,92,71
2004-01-10,2004,0,,SAS,IND,1709.2192,1616.241,0.7522916092517011,0.24770839074829887,1710.9539,1614.5063,,,,,,,,,,,89,88
2004-01-10,2004,0,,NYK,MIL,1435.6205,1546.0416,0.4850073273888243,0.5149926726111758,1443.6521,1538.01,,,,,,,,,,,94,88
2004-01-11,2004,0,,DET,DAL,1585.1044,1575.9407,0.6521258460195679,0.3478741539804321,1592.9446,1568.1005,,,,,,,,,,,115,102
2004-01-11,2004,0,,SAC,DEN,1662.7205,1490.5764,0.827296566475428,0.17270343352457196,1665.8439,1487.453,,,,,,,,,,,117,106
2004-01-11,2004,0,,LAC,MEM,1456.8301,1505.6285,0.5731561903781329,0.4268438096218671,1451.9989,1510.4597,,,,,,,,,,,107,108
2004-01-11,2004,0,,HOU,BOS,1583.2094,1482.531,0.7604590227059295,0.23954097729407053,1571.751,1493.9894,,,,,,,,,,,93,97
2004-01-11,2004,0,,TOR,POR,1422.5771,1500.2084,0.5321467423131677,0.4678532576868323,1432.6995,1490.0861,,,,,,,,,,,83,72
2004-01-12,2004,0,,ORL,PHI,1385.8083,1492.9382,0.489740689225296,0.510259310774704,1378.9545,1499.7921,,,,,,,,,,,82,87
2004-01-12,2004,0,,GSW,MEM,1446.4972,1510.4597,0.5516769382694168,0.4483230617305832,1441.0077,1515.9492,,,,,,,,,,,113,115
2004-01-12,2004,0,,LAL,CLE,1597.177,1363.9901,0.8719127816695688,0.12808721833043124,1599.276,1361.8911,,,,,,,,,,,89,79
2004-01-12,2004,0,,NYK,DAL,1443.6521,1568.1005,0.4648738827290717,0.5351261172709283,1436.6006,1575.152,,,,,,,,,,,121,127
2004-01-13,2004,0,,SAC,MIA,1665.8439,1401.7546,0.8905007735691126,0.10949922643088739,1666.9165,1400.682,,,,,,,,,,,90,86
2004-01-13,2004,0,,MIL,BOS,1538.01,1493.9894,0.6961538541518397,0.3038461458481603,1542.9574,1489.042,,,,,,,,,,,111,103
2004-01-13,2004,0,,NOP,MIN,1527.0784,1642.7673,0.4774371917402414,0.5225628082597586,1520.4419,1649.4038,,,,,,,,,,,89,94
2004-01-13,2004,0,,CHI,DET,1369.1675,1592.9446,0.32904263503081466,0.6709573649691853,1360.7493,1601.3628,,,,,,,,,,,89,105
2004-01-13,2004,0,,ATL,SAS,1375.1716,1710.9539,0.20468402776825376,0.7953159722317462,1394.254,1691.8715,,,,,,,,,,,86,77
2004-01-13,2004,0,,WAS,HOU,1369.2765,1571.751,0.3566599468968603,0.6433400531031397,1361.1986,1579.8289,,,,,,,,,,,80,93
2004-01-13,2004,0,,SEA,CLE,1530.7427,1361.8911,0.8245717764310666,0.1754282235689334,1511.6667,1380.967,,,,,,,,,,,96,104
2004-01-13,2004,0,,PHO,DEN,1420.8011,1487.453,0.5478449346111808,0.4521550653888192,1407.0079,1501.2462,,,,,,,,,,,92,105
2004-01-13,2004,0,,UTA,GSW,1517.3636,1441.0077,0.734033862949761,0.26596613705023897,1524.1918,1434.1796,,,,,,,,,,,97,80
2004-01-13,2004,0,,LAC,POR,1451.9989,1490.0861,0.588168388455446,0.41183161154455405,1458.6012,1483.4838,,,,,,,,,,,103,96
2004-01-14,2004,0,,DAL,PHI,1575.152,1499.7921,0.732913033789723,0.26708696621027705,1577.7709,1497.1732,,,,,,,,,,,125,122
2004-01-14,2004,0,,LAL,DEN,1599.276,1501.2462,0.7576706724729929,0.2423293275270071,1607.5255,1492.9967,,,,,,,,,,,97,71
2004-01-14,2004,0,,DET,TOR,1601.3628,1432.6995,0.8244149256357503,0.17558507436424975,1603.1908,1430.8715,,,,,,,,,,,95,91
2004-01-14,2004,0,,BOS,HOU,1489.042,1579.8289,0.5132556098445288,0.4867443901554712,1475.119,1593.7518,,,,,,,,,,,80,95
2004-01-14,2004,0,,SAS,MIN,1691.8715,1649.4038,0.6942596907516334,0.3057403092483666,1678.6875,1662.5878,,,,,,,,,,,93,100
2004-01-14,2004,0,,NYK,ORL,1436.6006,1378.9545,0.7124850149686938,0.28751498503130624,1441.8997,1373.6554,,,,,,,,,,,120,110
2004-01-14,2004,0,,NJN,WAS,1577.8888,1361.1986,0.8609275499832652,0.13907245001673485,1580.4711,1358.6163,,,,,,,,,,,115,103
2004-01-14,2004,0,,IND,ATL,1614.5063,1394.254,0.8633645307213966,0.13663546927860337,1616.3364,1392.424,,,,,,,,,,,85,78
2004-01-15,2004,0,,UTA,MIA,1524.1918,1400.682,0.7835755290406802,0.21642447095931983,1528.4645,1396.4093,,,,,,,,,,,97,85
2004-01-15,2004,0,,GSW,CLE,1434.1796,1380.967,0.7072287594510815,0.29277124054891845,1441.8198,1373.3268,,,,,,,,,,,119,102
2004-01-15,2004,0,,POR,PHO,1483.4838,1407.0079,0.7341686999750525,0.2658313000249475,1466.8417,1423.65,,,,,,,,,,,96,105
2004-01-15,2004,0,,MIL,NJN,1542.9574,1580.4711,0.5889678244360951,0.4110321755639049,1547.3345,1576.094,,,,,,,,,,,86,83
2004-01-15,2004,0,,MEM,CHI,1515.9492,1360.7493,0.8129127521367407,0.18708724786325925,1520.1328,1356.5657,,,,,,,,,,,108,93
2004-01-15,2004,0,,NOP,TOR,1520.4419,1430.8715,0.7486179618474312,0.25138203815256877,1509.28,1442.0333,,,,,,,,,,,74,78
2004-01-16,2004,0,,SAC,LAL,1666.9165,1607.5255,0.7145382226993146,0.28546177730068545,1675.2108,1599.2312,,,,,,,,,,,103,83
2004-01-16,2004,0,,ORL,BOS,1373.6554,1475.119,0.49789372274537874,0.5021062772546212,1381.4298,1467.3446,,,,,,,,,,,124,118
2004-01-16,2004,0,,DET,WAS,1603.1908,1358.6163,0.8790569878844384,0.12094301211556158,1606.4043,1355.4028,,,,,,,,,,,98,77
2004-01-16,2004,0,,LAC,MIA,1458.6012,1396.4093,0.7178155340188284,0.28218446598117164,1450.6301,1404.3804,,,,,,,,,,,85,87
2004-01-16,2004,0,,IND,SAS,1616.3364,1678.6875,0.5539700421146532,0.44602995788534683,1625.3231,1669.7008,,,,,,,,,,,89,79
2004-01-16,2004,0,,DEN,DAL,1492.9967,1577.7709,0.5218976712893423,0.4781023287106577,1487.0892,1583.6783,,,,,,,,,,,88,91
2004-01-16,2004,0,,NYK,SEA,1441.8997,1511.6667,0.543399299044837,0.45660070095516303,1456.5049,1497.0615,,,,,,,,,,,108,88
2004-01-16,2004,0,,PHO,GSW,1423.65,1441.8198,0.6156328379711326,0.38436716202886745,1431.5947,1433.8751,,,,,,,,,,,104,93
2004-01-17,2004,0,,PHI,MEM,1497.1732,1520.1328,0.6090879775619321,0.3909120224380679,1488.963,1528.343,,,,,,,,,,,87,91
2004-01-17,2004,0,,HOU,MIN,1593.7518,1662.5878,0.5447287091839922,0.4552712908160078,1607.7955,1648.5441,,,,,,,,,,,95,76
2004-01-17,2004,0,,NJN,IND,1576.094,1625.3231,0.5725495223618126,0.42745047763818744,1566.8644,1634.5527,,,,,,,,,,,84,90
2004-01-17,2004,0,,CHI,NYK,1356.5657,1456.5049,0.5000874982326409,0.49991250176735913,1349.5267,1463.5438,,,,,,,,,,,96,101
2004-01-17,2004,0,,WAS,SEA,1355.4028,1497.0615,0.4403339737127671,0.5596660262872328,1370.9924,1481.4719,,,,,,,,,,,99,84
2004-01-17,2004,0,,UTA,CLE,1528.4645,1373.3268,0.8128582914816764,0.18714170851832357,1512.6693,1389.1219,,,,,,,,,,,96,102
2004-01-17,2004,0,,NOP,ORL,1509.28,1381.4298,0.7877826405169679,0.2122173594830321,1510.7311,1379.9788,,,,,,,,,,,91,90
2004-01-17,2004,0,,ATL,TOR,1392.424,1442.0333,0.5720138053179146,0.42798619468208543,1398.2144,1436.2429,,,,,,,,,,,75,70
2004-01-17,2004,0,,MIL,DET,1547.3345,1606.4043,0.5586323026757644,0.44136769732423564,1539.2057,1614.5331,,,,,,,,,,,94,99
2004-01-17,2004,0,,LAL,LAC,1599.2312,1450.6301,0.807066884371756,0.192933115628244,1600.7864,1449.075,,,,,,,,,,,91,89
2004-01-17,2004,0,,POR,DAL,1466.8417,1583.6783,0.4757891336709554,0.5242108663290446,1460.9036,1589.6165,,,,,,,,,,,104,108
2004-01-18,2004,0,,DEN,MIA,1487.0892,1404.3804,0.7411120331667966,0.25888796683320336,1491.1908,1400.2788,,,,,,,,,,,88,80
2004-01-18,2004,0,,PHO,POR,1431.5947,1460.9036,0.6003516862892544,0.3996483137107456,1436.3792,1456.1191,,,,,,,,,,,96,92
2004-01-18,2004,0,,BOS,SAS,1467.3446,1669.7008,0.35681621766656324,0.6431837823334368,1457.6829,1679.3625,,,,,,,,,,,92,109
2004-01-19,2004,0,,MIN,NOP,1648.5441,1510.7311,0.7972123442265647,0.20278765577343527,1651.4106,1507.8645,,,,,,,,,,,97,90
2004-01-19,2004,0,,LAL,PHO,1600.7864,1436.3792,0.8208401835575205,0.17915981644247947,1589.1461,1448.0194,,,,,,,,,,,85,88
2004-01-19,2004,0,,MEM,HOU,1528.343,1607.7955,0.52953580277773,0.47046419722226995,1534.8575,1601.281,,,,,,,,,,,88,83
2004-01-19,2004,0,,ORL,MIL,1379.9788,1539.2057,0.4155817790340165,0.5844182209659835,1390.301,1528.8834,,,,,,,,,,,106,99
2004-01-19,2004,0,,DET,SAS,1614.5331,1679.3625,0.5504423796408126,0.44955762035918745,1622.473,1671.4226,,,,,,,,,,,85,77
2004-01-19,2004,0,,ATL,IND,1398.2144,1634.5527,0.3132806320042691,0.6867193679957309,1395.056,1637.7111,,,,,,,,,,,97,100
2004-01-19,2004,0,,WAS,CHI,1370.9924,1349.5267,0.6680132112204654,0.3319867887795346,1377.2726,1343.2466,,,,,,,,,,,93,83
2004-01-19,2004,0,,NYK,TOR,1463.5438,1436.2429,0.6754200451510171,0.32457995484898294,1470.0313,1429.7555,,,,,,,,,,,90,79
2004-01-19,2004,0,,LAC,SAC,1449.075,1675.2108,0.32605201028822833,0.6739479897117717,1437.7189,1686.5669,,,,,,,,,,,100,125
2004-01-19,2004,0,,GSW,UTA,1433.8751,1512.6693,0.5304797600455189,0.4695202399544811,1446.8564,1499.688,,,,,,,,,,,101,85
2004-01-19,2004,0,,PHI,SEA,1488.963,1481.4719,0.6499384138907037,0.3500615861092963,1475.1199,1495.3151,,,,,,,,,,,81,90
2004-01-20,2004,0,,IND,DET,1637.7111,1622.473,0.6600156204451356,0.3399843795548644,1644.9554,1615.2286,,,,,,,,,,,81,69
2004-01-20,2004,0,,UTA,DEN,1499.688,1491.1908,0.6512549577355456,0.34874504226445435,1475.5155,1515.3633,,,,,,,,,,,75,96
2004-01-20,2004,0,,SAC,POR,1686.5669,1456.1191,0.8701414999709164,0.1298585000290836,1669.9188,1472.7672,,,,,,,,,,,104,109
2004-01-20,2004,0,,CLE,SEA,1389.1219,1495.3151,0.49108821262953617,0.5089117873704638,1396.3204,1488.1166,,,,,,,,,,,99,94
2004-01-20,2004,0,,MIA,BOS,1400.2788,1457.6829,0.5609951282160196,0.4390048717839804,1394.6663,1463.2954,,,,,,,,,,,84,86
2004-01-20,2004,0,,DAL,NJN,1589.6165,1566.8644,0.6696534066793098,0.33034659332069016,1596.9879,1559.4929,,,,,,,,,,,106,93
2004-01-21,2004,0,,TOR,MIN,1429.7555,1651.4106,0.33174504131093946,0.6682549586890605,1423.0975,1658.0686,,,,,,,,,,,97,108
